Sample_ID	Erysipelotrichaceae	Lachnospiraceae	Bifidobacteriaceae	Bacteroidaceae	Christensenellaceae	Veillonellaceae	Ruminococcaceae	Prevotellaceae	Rikenellaceae	Peptostreptococcaceae	Clostridiaceae 1	Coriobacteriaceae	Streptococcaceae	Lactobacillaceae	Acidaminococcaceae	Eggerthellaceae	Tannerellaceae	Barnesiellaceae	Burkholderiaceae	Akkermansiaceae	Family XIII	Muribaculaceae	Marinifilaceae	Coriobacteriales Incertae Sedis	Desulfovibrionaceae	Anaeroplasmataceae	Atopobiaceae	Clostridiales vadinBB60 group	Enterobacteriaceae	Brachyspiraceae	Vibrionaceae	Enterococcaceae	Pasteurellaceae	Actinomycetaceae	Flavobacteriaceae	Defluviitaleaceae	Peptococcaceae	Puniceicoccaceae	Leuconostocaceae	Methanobacteriaceae	vadinBE97	Carnobacteriaceae
A11_14	16.526265738417266	22.35274393344308	3.1178625710822647	18.92567866556362	2.3120116315183368	2.160296174956505	15.620370548511838	0.5062678822226314	5.265790638166882	1.5416159345204885	0.004672396307157836	0.6228029430599799	0.4268371450009482	0.037104323615665166	0.7684717691066653	0.2954603547173338	1.3995201174145706	0.27292291370633714	0.14539397920508795	2.0096801057610647	1.0386462143970272	0	1.1241235821338558	0.04480003518039573	0.1514406097202334	0	0.0764074219641105	0.03573008940767757	0.016490810495851188	0	0	0	0	0.043150954130810604	0	0.0038478557823652766	0.004397549465560317	0	0	0	0	0.017315351020643747
A02_14	5.308431399015866	36.12825641466139	3.8678168677064284	10.683126158074927	1.5645515565754116	0.3374522965162652	25.798534843483488	6.779723411826782	0.7620286404967298	0.6221393248499871	0.028223282981360363	0.21106107273017316	0.04417557336212926	0.6859484863730627	0.3656755794976255	0.10184923858490913	1.7437080485440466	0.780435129397617	1.4087099505479	0.041721374842010966	0.50311069662425	0	0.3840820683985127	0.06503626078313475	0.0478568711423067	0.10675763562514572	0	0.10798473488520487	0	0.09203244450443597	0	0	0	0	0.09694084154467253	0	0.060127863742898156	0	0	0	0.27732443277336705	0
A04_14	1.7879319794911646	57.46081743944828	8.19312718114519	8.334663123642748	1.6866366480958555	0.02358932374959239	17.476219880249488	0.2816842777157209	0.993526812041656	0.3122116378622522	0	0.31290544150194605	0.08950066952051232	0	0.6785399596206282	0.18385796451888187	0.4093441474193974	0	0.6757647450618526	0.17136949900439177	0.1685942844456162	0	0.06591134577091991	0.10684576051285964	0.16304385532806506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A10_14	6.170350637194902	36.76920584635324	2.934876520987832	4.332565339477283	2.1293829649362808	3.9230686154510765	27.634278925768598	1.2500899992800059	0.7955936352509179	6.375548995608035	0.5129958960328317	1.4912880696954425	1.5110879112967097	0	0.15209878320973433	1.125890992872057	0.6569947440420476	0.23399812801497588	0.03329973360213118	0	0.7802937576499387	0	0.07469940240478076	0	0.01529987760097919	0	0.2717978256173951	0	0	0	0	0	0	0.04139966880264958	0	0	0	0	0	0	0	0
A07_14	2.9604068289139116	60.64293498002174	2.344033781329459	11.914275335997095	0.6424809298946603	0.02156738103886669	14.983654195423169	0	1.762849618597893	0.2327006901561932	0	0	0.9046948783145661	0	0.4075099891027969	0.43134762077733385	1.5539865601162368	0.19864693062114058	0	0.020432255721031602	0.14302579004722124	0	0.2451870686523792	0	0.06470214311660007	0	0	0	0	0	0	0	0	0	0	0.03859426080639303	0	0	0	0	0	0
A08_14	2.5855787806068222	30.30969458351996	3.1163309915173225	7.359006410470657	10.584963803233977	0.795459862699617	29.091772003823547	0	5.474635525638542	1.0762104024759522	0.05681856162140121	0.03074886864217007	0.17580331419327666	0.05147093229232816	0.019385156317889826	0.643720880487169	0.3008041497603594	1.04345617283538	0.25468084679710423	2.80683694409722	0.6236672705031451	0	0.3562858040494923	0.10361031825079044	0.1263377428993509	0.14705980654950904	0	0.025401239313097013	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A02_28	4.468504840115613	45.68059824746527	1.374501078130018	9.198513556911504	1.1065742992154883	0.26058631921824105	23.53626645868699	1.9929348075423226	1.0818002477405146	0.749644446483461	0.0412900857916227	0.19819241179978897	0.10368399321007478	1.2286094416662845	0.24131761251548378	0.1880992797173923	1.498371335504886	0.9744460246822958	1.4570812497132635	0.17066568793870715	0.7863467449649034	0	0.44868559893563337	0.1009313208239666	0.5165848511263018	0.37895123182089274	0	0.09083818874156994	0	0.13121071707115659	0	0	0	0	0.13212827453319265	0	0.07340459696288479	0	0	0	0.3128870945542964	0
A10_28	7.864236390698581	26.19378766805747	5.006954102920724	4.492106483175952	3.2537881560647097	2.743820608545007	26.80501671424737	0.22692335846570527	1.1821974965229485	7.15052582778225	0.7161505990288656	3.4087304492106485	2.4351560403093964	0	0.02684039723787912	1.0467754922772858	0.5282678183637117	0.5636483419954615	0.2086230876216968	0	1.6128638703852818	0	0.38674572383671274	0.019520288900275722	0.01708025278774126	0	0.7576312129419516	0	0.06588097503843057	0	0	0	0	0.031720469462948056	0	0	0	0	0	0	0	0
A11_28	1.1467049250714727	30.16619367270214	9.669323112474823	7.339260593493976	3.2051886216153007	1.25771015069483	29.522502993301302	0	2.8480869052231794	0.7571394162800683	0.3794423907314127	0.2558705357922038	0.1141468829523201	0	0	0.04677578689789265	1.6769468675931063	0.5511863247147201	1.0754940256149794	1.5107881021946223	0.37560258732934687	0	1.730704115222028	0.24923814809772651	0.27192789547357	0	0	1.25771015069483	0	0	0	0	0	0	0	0.012217556279300318	0.020595309156534822	0.04293598349582683	0	0.6028491341243328	0	0
A04_28	2.0101886272889993	63.099222796697475	4.1172309343056686	5.849202618847536	0.9585665655400305	0.08356003741210766	16.253376822534626	0.31904741557350197	0.6888955357100467	0.33091673906953994	0.4130524576621232	0.6879459898303636	3.0959943407065573	0	0.48094498805946057	0.18421190065851006	0.21554691468805043	0	0.34658424608431015	0.045578202224786	0.22124418996614867	0	0.068367303337179	0.068367303337179	0.1419571090126147	0	0	0	0.018516144653819313	0	0	0	0.016142279954611708	0	0	0	0	0	0	0	0	0
A05_28	0.9461066501089234	43.369360457162124	1.4817777122951767	12.477241872849158	1.6754191178792055	2.5047094852716767	25.69011060712895	0	3.298218288588838	3.4823881036823434	1.0334557624104146	0.017890782037654835	0.22310857599898967	0	0.08103471864114248	0.20627019290472634	0.8187663779585566	0.8829627135054356	0.486208311846855	0.107344692225929	0.2883573104892603	0	0.19995579924437756	0.10523989433914609	0.1315498679239326	0	0	0	0	0	0	0	0.05788194188653035	0	0	0	0	0	0	0	0	0
A07_28	3.5417411982575393	59.867631894610575	3.369178644331741	10.760958774384981	0.8049411814221679	0	15.9146867568762	0	1.7940192344114985	0	0	0	0.8828047728277111	0	0.2535827774153497	0.5071655548306994	1.1290220753803741	0.32828973673688416	0	0	0.08838569835223806	0	0.21149434962856964	0	0.07470695932153454	0	0	0	0	0	0	0	0	0	0	0.03472295292409352	0	0	0	0	0	0
A08_28	3.2069271545417477	34.92120601568684	2.1963173506672105	5.03625882484629	8.698120297746115	0.5460810886442317	33.91619294332109	0	3.6194862200474924	0.8419083255378857	0.10234023330375061	0.03198132290742207	0	0.025585058325937653	0.011992996090283274	0.38137727567100815	0.2510533848232632	0.8411087924652003	0.2134753304070423	1.2880477800964236	0.42375252852334233	0	0.2134753304070423	0.08954770414078178	0.10633789866717835	0.09834256794032285	0	0.07515610883244185	0	0	0	0	0	0	0	0	0.011992996090283274	0	0	0	0	0
A01_00	1.3240919344819695	48.29829666198059	3.0187116530988107	1.9539891675112522	0.8140713374963219	8.21917808219178	20.45640304704613	2.8890269286516057	1.5289720033565457	1.1867786968319873	0.6288074454288859	1.9550789551116488	2.217717766807249	0.21795752007933655	1.3404387484879199	0.42719673935549957	0.7584921698760911	0.3509116073277318	0.11442769804165168	0.2114187944769564	0.5198286853892178	0.608101481021349	0.1907128300694195	0.013077451204760192	0.3062303157114678	0	0.018526389206743606	0	0.009808088403570144	0	0	0	0	0	0	0	0	0	0.04468129161626399	0	0	0
A06_00	0.5720267142372731	55.15561190641171	8.60841233100886	2.9345855017765263	6.307773960990137	1.187545150304442	17.494729393032472	0	1.961550369311062	1.233248315617214	0.1290008698344366	0.8138112016983886	0.11720650459243097	0.14669241769744504	0	0.48209467926698024	0.05897182621002816	0.09804066107417181	0.15258960031844784	0	0.5808724881687772	0	0.12162939155818306	0.28453906146338587	0.17101829600908164	0	0	0	0	0	0	0	0	0.00737147827625352	0	0	0	0	0	0	0	0
A09_00	6.541762910998945	47.09936217336337	2.3830571952738087	2.2176595279512554	0.7652018516934247	1.6530261119190883	26.17180445052804	4.857368275966958	0.19961787435480652	0.07129209798385948	0.4410604461934772	0.34505375424187984	1.2404825049191548	0.6245187783386089	0.07699546582256823	0.7148221024514976	0.28992119846769515	0.07699546582256823	0.4439121301128316	0.04847862662902444	0.19106282259674337	0.25379986882253974	0.1920133839031948	0.02281347135483503	0.28516839193543786	0.061786484919344874	0	0	0	0	0	0.45721998840315203	0.013307858290320435	0	0	0	0.008555051758063138	0	0	0	0	0
A12_00	1.450696507368846	49.5097049577481	3.543102702390909	1.3353329680154589	0.6748767052173161	9.92270642863323	20.223228448648804	1.7290110460588932	1.5199146309808786	0.8955094742306694	0.5782597410088541	1.5833645776252416	2.118362991376576	0.17304530903008106	1.2041069420009807	0.4585700689297148	0.34897470654399676	0.33599630836674066	0.056239725434776344	0.2581259193032042	0.5681654313154327	0.633057422201713	0.23361116719060943	0	0.29994520231880717	0	0.02018861938684279	0	0	0	0	0	0	0	0	0	0	0	0.057681769676693674	0	0	0
A15_00	9.436631168197708	20.97715632875376	3.431834810178034	1.2690025201203154	1.0950329241525079	3.0830826762051866	17.56523859848793	18.716770994228117	2.4144378505812534	12.89569953662304	3.589545565401188	0.18738313958214778	0.47191285261360866	0	0.05080887732704659	0.7909926022274613	0.4076904316722218	0.14714250873912688	0.26867734330542237	0.04227298593610276	0.3426550686936021	0	0.025201203154215108	0.009755304446792944	0.39387041703926506	0	0.22803024144378506	0.005284123242012845	0	0	0	0	0.0430859279733355	0	0	0.10568246484025688	0	0	0	0.11543776928704984	0	0
A20_00	2.0340404538727186	50.80858411445486	3.9881598421312288	3.62900838677849	1.4425259003453377	0.44499259990133205	22.556487419832266	0	3.281697089294524	4.439565860878145	0.8835717809570796	0.48741983226443014	0	0.3670448939319191	0	2.2772570300937347	0.08781450419338924	0.5732609768130241	0	0.5974346324617661	0.25456339417858903	0.33053774050320667	0.10360138135175134	0.06561420818944252	0.007893438579181055	0	0	0.025653675382338433	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A01_07	4.322820201518924	56.42972980158273	0.6584369433637887	1.960245651037282	0.59020054411882	2.0860842054890423	22.354067155251098	1.717430412165575	0.40232889944436073	0.09216344833086677	0.3225720691580337	1.4311920101379794	1.2176209423712594	0.0779844562799642	2.546901447143376	0.5893143571156385	0.7550313267105625	0.06469165123224302	0.09482200934041102	0.4625896156606967	0.4625896156606968	0	0.09748057034995525	0.008861870031814113	0.5742491780615546	0	0.017723740063628226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031016545111349398
A06_07	0.41689638765322073	43.24167151283543	5.878843263573678	5.338841602030104	10.355947948371309	0.9010097653447325	24.670901085290055	0.00906296494898306	3.3872831496824185	0.558882838520622	0.05211204845665259	0.5543513560461306	0.2160006646174296	0	0	0.25602875980877143	0.14123120378831933	0.250742030255198	0.24092381822713302	0.01283920034439267	0.7582680673982493	0	0.828506045752868	0.03851760103317801	0.12990249760209052	0	0	0.006797223711737294	0	0.11102132062504248	0	0	0	0.03927284811225993	0	0	0	0	0	0	0	0
