Sample_ID	Erysipelotrichia	Clostridia	Actinobacteria	Bacteroidia	Negativicutes	Coriobacteriia	Bacilli	Gammaproteobacteria	Verrucomicrobiae	Melainabacteria	Mollicutes	Deltaproteobacteria	Alphaproteobacteria	Brachyspirae	Methanobacteria	Lentisphaeria
A02_00	5.2191835468285985	69.1802225078676	1.1025663756039183	18.615087983688664	0.48756704046806443	0.46762111608527995	0.016621603652320377	1.6344576924781702	0.04099995567572359	0	1.0405123886352554	0.49089136119852844	0.9972962191392225	0.10305394264438633	0	0.1739727848942866
A11_00	11.709937230797095	60.47860809717065	4.142540992421283	16.182455187090707	3.9467056073443927	1.8564741706711039	0.1307455894588491	0.15395151659223788	0.50204042359307	0.050939840048902243	0.26545316647705725	0.12395361078566215	0	0	0	0
A07_00	1.6326785937695483	83.55331748613366	4.153634430126361	9.371741940864924	0.35030651820342795	0.2669002043454689	0.3148588348137954	0	0.09070436632053047	0	0	0.09383210309020393	0.03857542015930606	0	0	0
A08_00	3.2260461982103394	74.28824829308405	2.265317649856807	13.560690892154625	0.6099313269846304	0.8001942267101365	0.005945715616422066	0.3210686432867916	1.8268211231456797	0	1.8823144688989526	0.14715646150644615	0.0802671608216979	0	0	0
A10_00	9.083442146497623	67.18230066130323	6.778358114653973	7.489153784592056	2.3166673686870807	4.705993850301167	1.0962048776378417	0.1632197464302262	0.02843182679752327	0	0.3338107072153658	0.05686365359504654	0	0	0	0
A04_00	2.0066277143106306	75.80535449550885	10.558995378041335	8.399755821051714	0.6339931978721548	1.2409522978983167	0.3418505276009418	0.6898055289090433	0.03488270689805529	0	0	0.12819394785035318	0	0	0	0
A05_00	1.345535762924225	79.16326197091033	1.6821920793157923	12.130522416516861	3.264149915563545	0.5698098817889633	0.4314430462493872	0.5360352998856023	0.21899003105082532	0	0	0.1721414174429373	0.10350275099417115	0	0	0
A08_07	4.238568588469184	76.39761431411533	1.9562624254473162	12.674353876739563	0.547117296222664	0.7220675944333996	0.22107355864811135	0.2544731610337972	0.7491053677932406	0	1.9562624254473167	0.10019880715705765	0	0	0	0
A02_07	5.962342147966168	72.21350932380858	1.506676699090736	16.03858252726432	0.3988795111912899	0.3898140677551242	0.09790678911058934	1.0887597566834981	0.037168318088279285	0	1.2881995122791432	0.04260758414997869	0.10062642214143905	0.0679908257712426	0	0.19218740084671243
A05_07	1.9296836441407874	76.8142800460646	3.150977906380343	12.557943735302372	2.9942032071071196	0.298065477630573	0.957583734141078	0.5046790473517656	0.19790386420601358	0	0	0.08274220239420127	0.10983906399698064	0	0	0
A10_07	7.356630691349593	73.39187363608023	5.441575986104719	3.813779486646577	4.353409242736896	2.9579430234111728	1.8668072029809535	0.017814462374370926	0.020783539436766082	0	0.25237155030358815	0.02523715503035881	0	0	0	0
A11_07	14.714206682007328	54.91849939465857	2.2056878041740497	20.543123561812976	3.294500613359204	1.9755778805833728	0.30387338341765346	0.18921930999093992	0.9460965499546996	0.018440864956744143	0.17158022177144552	0.2132726121084323	0	0	0	0
A04_07	1.3667975691625898	77.31620631403435	8.192009828656678	10.628331980430442	0.5627344726969571	0.6000307145521161	0.462912178319914	0.35870209078344045	0.1447971742612053	0	0	0.11627651872490731	0	0	0	0
A07_07	2.0674693567632065	73.95053693459164	7.59084499403406	13.096865169758107	0.47293632715045014	0.5033083848573597	1.927540948042087	0	0	0	0	0.1833170625881332	0	0	0	0
A05_14	3.431372549019608	55.09803921568627	4.11764705882353	34.411764705882355	2.941176470588235	0	0	0	0	0	0	0	0	0	0	0
A11_14	16.526265738417266	43.897438152589466	3.1610135252130753	27.4943037992079	2.92876794406317	1.0826217090526307	0.48125681963725714	0.16188478970093914	2.0096801057610647	0.013192648396680948	0.7901846695928694	0.1514406097202334	0	0	0	0
A02_14	5.308431399015866	65.12583902911912	3.8678168677064284	21.23004429828329	0.7031278760138908	0.3779465720982171	0.730124059735192	1.4087099505479	0.041721374842010966	0	0.25891794387247985	0.0478568711423067	0.13988931564674267	0.09203244450443597	0	0.27732443277336705
A04_14	1.7879319794911646	77.19744957782049	8.19312718114519	10.085129706590443	0.7021292833702205	0.6036091665336876	0.08950066952051232	0.6757647450618526	0.17136949900439177	0	0	0.16304385532806506	0	0	0	0
A10_14	6.170350637194902	74.35830513355891	2.976276189790482	7.343941248470015	4.0751673986608115	2.8889768881848945	1.5110879112967097	0.03329973360213118	0	0	0.3878968968248254	0.01529987760097919	0	0	0	0
A07_14	2.9604068289139116	76.68339084634943	2.344033781329459	15.674945513984742	0.4290773701416636	0.43134762077733385	0.9046948783145661	0	0.020432255721031602	0	0	0.06470214311660007	0.2769705775517617	0	0	0
A08_14	2.5855787806068222	71.94967880801342	3.1163309915173225	14.534188062754428	0.8148450190175068	0.7780800673801296	0.22727424648560485	0.25468084679710423	2.80683694409722	0	2.2272876155589274	0.1263377428993509	0	0	0	0
A02_28	4.468504840115613	72.46043033444974	1.374501078130018	15.32687984585035	0.5019039317337248	0.4872230123411478	1.332293434876359	1.4570812497132635	0.17066568793870715	0	0.8212139285222736	0.5165848511263018	0.09267330366564207	0.13121071707115659	0	0.3128870945542964
A10_28	7.864236390698581	65.9065954176122	5.0386745723836714	7.379889222360489	2.770661005782886	5.232657443330162	2.4351560403093964	0.2745040626601274	0	0	2.7487006807700753	0.01708025278774126	0	0	0	0
A11_28	1.1467049250714727	66.24812809584145	9.669323112474823	14.146184806247017	1.25771015069483	0.6381055108160281	0.1141468829523201	1.0754940256149794	1.553724085690449	0	1.1522900936562956	0.27192789547357	0.11624132117162875	0	0.6028491341243328	0
