Frequency	Average	St. Dev.	Median	Interq. Range	Phyla
100	76.92023715069138	7.61339254013545	79.49991044086345	10.316914078672482	Firmicutes
100	13.916141189617269	7.745957429797591	12.224992402609118	10.666026322885182	Bacteroidetes
100	7.272969234138745	6.759429577013512	5.989529725960791	5.021334126938986	Actinobacteria
98.18181818181819	0.6067060058464031	0.4898294991052169	0.5387535672837663	0.30209110819603036	Proteobacteria
69.0909090909091	0.4671752138060432	0.6240025432881668	0.21602596292409898	0.7824883098194263	Tenericutes
76.36363636363637	0.30568302521175994	0.5164299506809223	0.06858515698099066	0.24336035758055446	Verrucomicrobia
10.909090909090908	0.030320107635883456	0.10764653298171895	0	0	Cyanobacteria
7.2727272727272725	0.017078066304797537	0.06390027294116087	0	0	Lentisphaerae
9.090909090909092	0.014530430000113928	0.0416367652589735	0	0	Euryarchaeota
10.909090909090908	0.009883110121678912	0.027641025526570898	0	0	Spirochaetes
