Sample_ID	Firmicutes	Actinobacteria	Bacteroidetes	Proteobacteria	Verrucomicrobia	Cyanobacteria	Tenericutes	Spirochaetes	Euryarchaeota	Lentisphaerae
A02_00	74.90359469881655	1.570187491689198	18.615087983688664	3.1226452728159213	0.04099995567572359	0	1.0405123886352554	0.10305394264438633	0	0.1739727848942866
A11_00	76.26599652477091	5.999015163092388	16.182455187090707	0.2779051273779001	0.50204042359307	0.050939840048902243	0.26545316647705725	0	0	0
A07_00	85.85116143292045	4.42053463447183	9.371741940864924	0.13240752324951	0.09070436632053047	0	0	0	0	0
A08_00	78.1301715338954	3.065511876566944	13.560690892154625	0.5484922656149356	1.8268211231456797	0	1.8823144688989526	0	0	0
A10_00	79.67861505412579	11.484351964955142	7.489153784592056	0.2200834000252727	0.02843182679752327	0	0.3338107072153658	0	0	0
A04_00	78.78782593529257	11.799947675939652	8.399755821051714	0.8179994767593965	0.03488270689805529	0	0	0	0	0
A05_00	84.20439069564749	2.2520019611047557	12.130522416516861	0.8116794683227107	0.21899003105082532	0	0	0	0	0
A08_07	81.40437375745529	2.6783300198807156	12.674353876739563	0.3546719681908549	0.7491053677932406	0	1.9562624254473167	0	0	0
A02_07	78.67263777207667	1.8964907668458602	16.03858252726432	1.2319937629749156	0.037168318088279285	0	1.2881995122791432	0.0679908257712426	0	0.19218740084671243
A05_07	82.69575063145356	3.4490433840109165	12.557943735302372	0.6972603137429475	0.19790386420601358	0	0	0	0	0
A10_07	86.96872077314768	8.39951900951589	3.813779486646577	0.043051617404729736	0.020783539436766082	0	0.25237155030358815	0	0	0
A11_07	73.23108007344271	4.181265684757421	20.543123561812976	0.40249192209937223	0.9460965499546996	0.018440864956744143	0.17158022177144552	0	0	0
A04_07	79.7086505342138	8.792040543208794	10.628331980430442	0.4749786095083478	0.1447971742612053	0	0	0	0	0
A07_07	78.41848356654738	8.094153378891422	13.096865169758107	0.1833170625881332	0	0	0	0	0	0
A05_14	61.47058823529412	4.11764705882353	34.411764705882355	0	0	0	0	0	0	0
A11_14	63.8337286547072	4.243635234265705	27.4943037992079	0.3133253994211726	2.0096801057610647	0.013192648396680948	0.7901846695928694	0	0	0
A02_14	71.86752236388406	4.245763439804646	21.23004429828329	1.596456137336949	0.041721374842010966	0	0.25891794387247985	0.09203244450443597	0	0.27732443277336705
A04_14	79.7770115102024	8.79673634767888	10.085129706590443	0.8388086003899178	0.17136949900439177	0	0	0	0	0
A10_14	86.11491108071134	5.865253077975376	7.343941248470015	0.04859961120311037	0	0	0.3878968968248254	0	0	0
A07_14	80.97756992371957	2.775381402106792	15.674945513984742	0.3416727206683618	0.020432255721031602	0	0	0	0	0
A08_14	75.57737685412337	3.8944110588974525	14.534188062754428	0.3810185896964552	2.80683694409722	0	2.2272876155589274	0	0	0
A02_28	78.76313254117544	1.861724090471166	15.32687984585035	2.0663394045052073	0.17066568793870715	0	0.8212139285222736	0.13121071707115659	0	0.3128870945542964
A10_28	78.97664885440308	10.27133201571383	7.379889222360489	0.2915843154478686	0	0	2.7487006807700753	0	0	0
A11_28	68.7666900545601	10.30742862329085	14.146184806247017	1.463663242260178	1.553724085690449	0	1.1522900936562956	0	0.6028491341243328	0
A04_28	86.97697826014708	5.057756128131721	7.1410597881563165	0.5231997797053559	0.045578202224786	0	0	0	0	0
A05_28	79.39718588522538	1.8111785815767036	17.67714505214637	0.7387840582608054	0.107344692225929	0	0	0	0	0
A07_28	81.38849723268584	3.8763441991624403	14.22378417054231	0.2840968875607652	0	0	0	0	0	0
A08_28	82.92357263358198	2.6992236533864222	9.961382552589289	0.31981322907422066	1.2880477800964236	0	2.2586809303366833	0	0	0
A01_00	85.36306273907212	5.4489380019834135	8.280206187813995	0.4304661021566896	0.2114187944769564	0	0.008718300803173462	0	0	0
A06_00	83.36183638266814	10.259623464889652	5.174777749929971	0.3236078963275295	0	0	0.2668475136003774	0	0	0
A09_00	85.53816028364749	3.4876094333704053	8.08737559528902	1.0132983526772559	0.04847862662902444	0.017110103516126275	1.3535993003868785	0	0	0
A12_00	87.5018025553024	5.605225968332708	6.13589824935829	0.35618492775358346	0.2581259193032042	0	0.018746575144925445	0	0	0
A15_00	70.20608080643848	4.647996097878221	22.980245508495244	0.705633688318023	0.04227298593610276	0	0.39346394602064877	0	0.11543776928704984	0
A20_00	83.50172668968922	6.8756783423779	8.005920078934388	0.007893438579181055	0.5974346324617661	0	0.27084361124815	0	0	0
A01_07	90.64097905940109	2.7152769777478443	4.997208510939979	0.6690711874019656	0.4625896156606967	0	0.021268488076353873	0	0	0
A06_07	81.69432129721243	6.834230818612308	9.955666996457891	0.3708263158292235	0.01283920034439267	0	0.38895224572718967	0.11102132062504248	0	0
A09_07	65.20302662738979	1.9892566279674235	28.40755501646162	1.1563564951192749	0.009241610350603592	1.4370704095188587	1.4105007797608733	0	0	0
A03_00	77.20106553589387	12.589360950284053	9.80592024790019	0.2949251134850091	0	0	0.010872815243686973	0	0	0
A12_07	79.61459996452012	8.470817810892319	9.82903139968068	1.928108923186092	0	0	0	0	0	0
A20_07	82.68435400725268	7.443799947345625	8.164825178982415	0.058599223772601045	0.8314295662808178	0	0.1757976713178031	0	0	0
A01_14	91.90570892461886	3.707823507601038	3.4415343647824184	0.30224379501353915	0.40224267143065806	0	0	0	0	0
A03_14	78.38859552873413	3.7109107118365117	17.037271979152376	0.5297627211630778	0.03857495542449595	0	0.012858318474831985	0	0	0
A09_14	65.61951661289409	2.3886341767136465	28.65908190411502	1.6697798154751802	0	0	1.3811060168676064	0	0	0
