Sample_ID	Firmicutes	Actinobacteria	Bacteroidetes	Proteobacteria	Verrucomicrobia	Cyanobacteria	Tenericutes	Spirochaetes	Euryarchaeota	Lentisphaerae
A20_14	83.28609764779976	6.447328787754318	8.422328103179167	0.03491333278567321	0.6585612968591692	0	0.3060050932391358	0	0	0
A06_14	83.64989602880762	6.662397930719684	8.767180605568797	0.35502358370948933	0	0	0.2707054825784856	0	0	0
A12_14	82.68260949661497	2.9239395753695945	12.802813982406855	1.248100216460185	0	0	0	0	0	0
A15_07	63.238991398956124	4.527677718150408	31.577593177975455	0.38667940895390723	0.03161067411600382	0	0.019848562817025656	0	0.016172903036094977	0
A15_14	52.632936792317594	3.052888060771105	43.23419807940377	0.4142181453346711	0.10391285652859394	0	0.21427547656585927	0	0.03439873871291386	0
A03_07	79.2062909450876	7.5088702770640765	12.093607839211632	0.8686754090337793	0	0	0	0	0	0
A03_28	83.16783673813595	7.924862437543482	8.13252377037084	0.3689414542618008	0.05692239580039213	0	0.06535534332637616	0	0	0
A12_28	0	100	0	0	0	0	0	0	0	0
A15_28	64.30547367466326	1.049587068361727	33.04007376838541	0.784544918597796	0.06651247864798271	0	0.22775485112794075	0	0.04484553484598834	0
A01_28	76.81122804572068	17.79167828268748	4.510210482297184	0.27007248396989125	0.17946752160579874	0	0	0	0	0
A06_28	81.62268427968193	9.209721260995597	8.030170814150594	0.2788393063119991	0	0	0.42327405490526476	0.048144916197755246	0	0
A09_28	66.42076763815898	3.687848383500557	27.48781653129479	0.5828953655040611	0.008918617614269788	0.16117216117216118	0.9651218346870519	0	0	0
A20_28	86.35076366981055	2.4180860248021236	10.509839359049872	0.0395349400117798	0.043569117564002224	0	0.12021849105622838	0	0	0
