Exp_Name	Erysipelotrichaceae	Lachnospiraceae	Bifidobacteriaceae	Bacteroidaceae	Christensenellaceae	Veillonellaceae	Ruminococcaceae	Prevotellaceae	Rikenellaceae	Peptostreptococcaceae	Clostridiaceae 1	Coriobacteriaceae	Streptococcaceae	Lactobacillaceae	Acidaminococcaceae	Eggerthellaceae	Tannerellaceae	Barnesiellaceae	Burkholderiaceae	Akkermansiaceae	Family XIII	Muribaculaceae	Marinifilaceae	Coriobacteriales Incertae Sedis	Desulfovibrionaceae	Anaeroplasmataceae	Atopobiaceae	Clostridiales vadinBB60 group	Enterobacteriaceae	Brachyspiraceae	Vibrionaceae	Enterococcaceae	Pasteurellaceae	Actinomycetaceae	Flavobacteriaceae	Defluviitaleaceae	Peptococcaceae	Puniceicoccaceae	Leuconostocaceae	Methanobacteriaceae	vadinBE97	Carnobacteriaceae
A02	5.239615483481561	41.308009769000584	1.9628902551327752	9.799048707101514	1.4741794539139366	0.20292225486922347	24.945243990066626	4.311988541536605	0.8362875301661847	0.7706445161873586	0.14724081941631914	0.1747393041762793	0.043310702048366984	0.5009257697952482	0.319947334982519	0.15624681573779123	1.4924756413702671	0.8393849092238961	1.397252162355708	0.07263883413618026	0.6116671598654898	0	0.42006088268642444	0.0996650721558717	0.2744851669042789	0.41906418645491983	0	0.12241015229543614	0	0.09857198249780537	0	0	0	0	0.10340245168676465	0	0.05058311499450199	0	0	0	0.2390929282671656	0
A11	11.02427864407329	30.131800964002174	4.780882129368586	12.876974523507931	2.0438950852401083	2.3702148516146293	21.214516851417642	0.5944623929117013	3.5654925018429524	0.8658474213575227	0.10126418032022427	0.8373535689690734	0.23868920141531935	0.014487629696039638	0.48670622725077006	0.33530660548554125	1.0964143899491667	0.3098705812258691	0.39101470785081127	1.242151295375864	0.902700723284311	0	1.1483024491520288	0.1298595942598193	0.19014868202197446	0	0.03427731781016967	0.3363182633455918	0.004122702623962797	0	0	0	0	0.013759229202221947	0	0.0040163530154163985	0.010634700881957034	0.010733995873956707	0	0.1507122835310832	0	0.004328837755160937
A07	2.5505739944260513	62.38420376400562	4.364422962455405	10.374525698603717	0.6087183355845612	0.009562160952614626	14.467835416561774	0	1.3503716691383127	0.12282863660777522	0.0021694326933506883	0	0.9981732088716595	0.00930164962788041	0.3669135872751082	0.4271804412027154	1.054048683369967	0.18759945055186394	0	0.027784155510390512	0.11489496719590063	0	0.1252886971236595	0	0.10413956702911795	0	0	0	0	0	0	0	0	0	0	0.02375288516599836	0	0	0	0	0	0
A08	3.3142801804570237	35.068493681024165	2.383557104372164	6.7961875657151	8.463436166461975	0.6246473936377858	29.697985525628827	0	4.359849894441752	1.4407764631066986	0.1259173039934551	0.030422967853111074	0.07605355963930341	0.04391608512971556	0.007844538102043275	0.5749628373412584	0.2582640378625498	0.9412313228569033	0.26092449538118384	1.6677028037831407	0.45849226931927334	0	0.327121025183171	0.09542624261634994	0.12000772755750827	0.1811416389531415	0	0.040224015512356354	0	0	0	0	0	0	0	0	0.007841475691118784	0	0	0	0	0
A10	7.618664966435175	33.1335195980317	5.040441181166812	3.8681249976779464	2.9793663550556926	3.271544499287412	25.804381013903523	0.42313315484372555	1.0032662594741333	6.44729455602694	0.5512307087670304	2.381338531365084	1.6697095038581438	0.05760450419808156	0.1074317546795063	1.0488334822642404	0.7200251498309791	0.28660440861001485	0.10573925750710628	0.01230384155857234	1.1409232455625766	0	0.20553696508048513	0.007663581971064389	0.028620234753531447	0	0.5085572057064599	0	0.016470243759607643	0	0	0	0	0.018280034566399407	0	0	0	0	0	0	0	0
A04	1.792886472563346	59.599009014236955	7.765340830537218	7.662719255857301	1.1719914507957099	0.06197598163740274	16.63698406674871	0.29842263259900065	0.755486680794901	0.18568406879286614	0.1032631144155308	0.541385369320265	0.9975644290369814	0	0.5538645132153224	0.20924779528468507	0.27485728781598356	0	0.5177141527096616	0.09915689559710959	0.1608479430787033	0	0.07208346699004226	0.09564617859759321	0.13736785772898505	0	0	0	0.004629036163454828	0	0	0	0.004035569988652927	0	0	0	0	0	0	0	0	0
A05	1.9131746515483858	38.903883114927716	2.5999228562171526	14.972961475638028	1.0409539558189096	2.878796846267648	26.803241800429817	0	2.991192869577574	2.942046426096073	1.5752813413045816	0.02513649069087532	0.4030338390973637	0	0.06752160302528204	0.1725541870493305	0.5199292790361293	0.5686934413847341	0.3321337305873971	0.13105964687069196	0.22709485297107518	0	0.14156691182552303	0.10162837943506006	0.09660837194026779	0	0	0	0.0019354901144842407	0	0	0	0.062131929540807006	0.008225832986558023	0	0	0	0	0	0	0	0
A01	2.782310560384445	54.7516681922572	4.93238488496944	1.6102428975718257	0.6669743600897933	3.3714143422321965	19.328329278817463	1.6502710047703508	0.9805421607680399	0.6076106063341404	0.9862372838371103	1.6559879279446608	1.2742503556461078	0.10538696771387993	1.6637528340970202	0.7448320191995026	0.4220810941704721	0.20146871117243179	0.0727347012620312	0.31392965079352747	0.5085636340268249	0.3064543264136062	0.13622969159166748	0.022422298480886317	0.3427766687725977	0	0.0357803884273593	0	0.0024520221008925364	0	0	0	0	0.0028314050738778925	0	0	0	0	0.011170322904065997	0	0	0.007754136277837349
A06	0.7187786197377032	53.516305727147376	7.192362606636969	4.880711850357307	6.447017669253455	1.0730674493112449	18.962251287432895	0.002265741237245765	2.4509387257904183	0.6018080045364406	0.04527822957277229	0.5826784825726566	0.42194926092283086	0.03667310442436126	0	0.2834952534093354	0.10286245216322158	0.24200328261540777	0.1952796935004278	0.0032098000860981673	0.442384274436625	0	0.3031669893632132	0.12420106464363083	0.13679458204413258	0	0	0.0016993059279343233	0	0.039791559205699434	0	0	0	0.011661081597128363	0	0	0	0	0	0	0	0
A09	5.7575420610013435	40.54605944919911	1.8746517522464101	3.1845185622746954	0.6954053115655106	1.4806017732101338	19.24549002864275	18.812557358222946	0.24602846453101532	0.4511466108225698	0.4855984342308069	0.34941261633734505	0.874790865458519	0.6812083846503852	0.08572500537811963	0.596755426529166	0.4738728761966248	0.06959531195771618	0.6158677975551012	0.016659713648474454	0.11960462730561945	0.26162157553146265	0.11226311307564964	0.02531955834135194	0.20736087913887985	0.07077292571799193	0	0	0.02328233764015091	0	0	0.11430499710078801	0.00905088988301986	0.002310402587650898	0	0	0.0032535901412995075	0	0	0	0	0
A12	5.612462759442603	33.07448254710074	28.1554611264044	2.839170104291259	0.16871917630432903	6.212944673696266	12.453739783362131	2.8437562222517867	0.7306190915345713	2.532464972692146	0.6356151446741889	0.9110497107381308	1.159789625842633	0.043261327257520264	0.31423036182499137	0.1720625583855101	0.26708946365446834	0.2655666677299911	0.49825078154134805	0.06453147982580106	0.1420413578288582	0.15826435555042825	0.08747000284895141	0	0.17168704292149103	0	0.005047154846710696	0	0.1955594104688609	0	0	0.008592779847436581	0.017601281918265082	0.00637528827390456	0	0	0	0	0.014420442419173419	0	0	0
A13	7.191140381249886	22.70485164695611	2.528796216892822	1.0828603304730418	0.473500494951016	2.08859667626874	13.284786769335183	29.660618373596236	1.5676557037017036	11.493804276387356	3.984942205779724	0.2287863219118654	0.7053915085958673	0	0.09865939712545665	0.4467592633395367	0.2958704640235856	0.07835186787961018	0.11467130185302118	0.0610772488071708	0.1818105287741717	0	0.022670893890791497	0.004454355767697712	0.2490195982395101	0	0.11074107837844331	0.001321030810503211	0.0235646959479162	0	0.0685366864995637	0.06298530174998362	0.11697675776108814	0	0	0.04320055218304552	0	0	0.002149921169557116	0.05271373647051176	0	0
A14	2.8684145832418966	48.965365844131256	4.156983454232854	4.582414173063017	1.9683188329388188	0.46282522276510113	22.978367638108615	0.010913320674949442	3.274699221381852	4.206148728532927	1.6750112233667132	0.5326103101872547	0.004246320563231959	0.2554786691533724	0	0.99881221121944	0.09895461183576185	0.5363975980217394	0.023707652875241604	0.5327486532914388	0.18778332114669527	0.19826626390085852	0.07408299115828108	0.055389340523226575	0.00452115198273444	0	0	0.02297808059944524	0.004883268647716753	0	0	0	0.0021231602816159795	0	0	0	0.01172350483480333	0	0	0	0	0
A03	1.6463031772943244	54.38232740597525	6.9068323536090785	8.324348405598485	2.092179714175899	0.6790230042545139	19.432606358094418	0.02508241182809269	0.9147593265479166	0.5408257180150303	0.17813858483672632	0.5533466715804212	0.27525626877522924	0	0.0019287477712247973	0.27149745726838603	0.9985958907137084	0.0790763911262516	0.44544042605823	0.02387433780622202	0.1734487499355339	1.1220986863578748	0.3033698469864305	0.17468996349981164	0.06842130596437576	0	0	0	0	0	0	0	0	0	0	0	0.009123024654393136	0	0	0	0	0
