Feature_Name	Colour	Sub_Color	Avg	StDev	F_Type	HMDB_SuperClass	HMDB_Class	HMDB_SubClass	HMDB_DirectParent	Notes	Link_HMDB	Link_PubmedChem
Betaine	#BEFC35	#B2EC32	78.3915	10.204580765891118	Amino acids derivative	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acids	NA	https://hmdb.ca/metabolites/HMDB0000043	https://pubchem.ncbi.nlm.nih.gov/compound/248
N-Acetylaspartate	#BEFC35	#D9FF53	81.877375	10.795754409735174	Amino acids derivative	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Aspartic acid and derivatives	NA	https://hmdb.ca/metabolites/HMDB0000812	https://pubchem.ncbi.nlm.nih.gov/compound/65065
N-Acetylglutamate	#BEFC35	#E0FF60	84.94975	5.008045672285368	Amino acids derivative	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Glutamic acid and derivatives	NA	https://hmdb.ca/metabolites/HMDB0001138	https://pubchem.ncbi.nlm.nih.gov/compound/70914
N,N-Dimethylglycine	#BEFC35	#E7FF71	82.1855	11.839545396250374	Amino acids derivative	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acids	NA	https://hmdb.ca/metabolites/HMDB0000092	https://pubchem.ncbi.nlm.nih.gov/compound/673
Phenylalanine	#BEFC35	#ECFF88	95.4455	4.007151802667357	Amino acids derivative	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Phenilalanine and derivatives	NA	https://hmdb.ca/metabolites/HMDB0000159	https://pubchem.ncbi.nlm.nih.gov/compound/6140
Phenylacetate	#BA003B	#8C002C	93.554375	5.0337589054656195	Carboxylic acids	Benzenoids	Benzene and substituted derivatives	-	Benzene and substituted derivatives	NA	https://hmdb.ca/metabolites/HMDB0000209	https://pubchem.ncbi.nlm.nih.gov/compound/999
3-Phenylpropionate	#BA003B	#970030	81.565125	8.61691771286306	Carboxylic acids	Phenylpropanoids and polyketides	Phenylpropanoic acids	-	Phenylpropanoic acids	NA	https://hmdb.ca/metabolites/HMDB0000764	https://pubchem.ncbi.nlm.nih.gov/compound/107
Formate	#BA003B	#AE0037	98.215	2.004260651585435	Carboxylic acids	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acids	Carboxylic acids	NA	https://hmdb.ca/metabolites/HMDB0000142	https://pubchem.ncbi.nlm.nih.gov/compound/284
Fumarate	#BA003B	#BA003B	98.85075	1.317183199968205	Carboxylic acids	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives	Dicarboxylic acids and derivatives	NA	https://hmdb.ca/metabolites/HMDB0000134	https://pubchem.ncbi.nlm.nih.gov/compound/444972
Malonate	#BA003B	#E34059	78.080375	13.590097515857137	Carboxylic acids	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives	Dicarboxylic acids and derivatives	NA	https://hmdb.ca/metabolites/HMDB0000691	https://pubchem.ncbi.nlm.nih.gov/compound/867
Succinate	#BA003B	#ED5565	95.35625	7.48359697833717	Carboxylic acids	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives	Dicarboxylic acids and derivatives	NA	https://hmdb.ca/metabolites/HMDB0000254	https://pubchem.ncbi.nlm.nih.gov/compound/1110
2-Hydroxyisovalerate	#BA003B	#F56A72	72.67575	3.9078858200155335	Carboxylic acids	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Hydroxy fatty acids	NA	https://hmdb.ca/metabolites/HMDB0000407	https://pubchem.ncbi.nlm.nih.gov/compound/99823
Methylsuccinate	#BA003B	#FC8080	81.74925	12.510583749749395	Carboxylic acids	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Methyl-branched fatty acids	both a  SCFA and Fatty acids	https://hmdb.ca/metabolites/HMDB0001844	https://pubchem.ncbi.nlm.nih.gov/compound/10349
Caprate	#FAD246	#FFDB4D	76.4595	5.59462397917451	Fatty acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Medium-chain fatty acids	NA	https://hmdb.ca/metabolites/HMDB0000511	https://pubchem.ncbi.nlm.nih.gov/compound/2969
Lactate	#FFA87C	#DF936D	77.995875	7.573158579499915	Hydroxy acids	Organic acids and derivatives	Hydroxy acids and derivatives	Alpha hydroxy acids and derivatives	Alpha hydroxy acids and derivatives	Propionic acid	https://hmdb.ca/metabolites/HMDB0000190	https://pubchem.ncbi.nlm.nih.gov/compound/107689
2-Hydroxyisobutyrate	#FFA87C	#EF9E74	63.866625	6.44794814655274	Hydroxy acids	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives	Beta hydroxy acids and derivatives	NA	https://hmdb.ca/metabolites/HMDB0000336	https://pubchem.ncbi.nlm.nih.gov/compound/11671
3-Hydroxybutyrate	#FFA87C	#FFA87C	70.087375	11.741462262432503	Hydroxy acids	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives	Beta hydroxy acids and derivatives	mono	https://hmdb.ca/metabolites/HMDB0000011	https://pubchem.ncbi.nlm.nih.gov/compound/441
L-Malic acid	#FFA87C	#FFB080	87.783875	8.736571104713882	Hydroxy acids	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives	Beta hydroxy acids and derivatives	NA	https://hmdb.ca/metabolites/HMDB0000156	https://pubchem.ncbi.nlm.nih.gov/compound/222656
Pyruvate	#E6DFBF	#ADA78F	79.16	15.687424456422072	Ketones	Organic acids and derivatives	Keto acids and derivatives	Alpha-keto acids and derivatives	Alpha-keto acids and derivatives	mono	https://hmdb.ca/metabolites/HMDB0000243	https://pubchem.ncbi.nlm.nih.gov/compound/1060
Acetoin	#E6DFBF	#BBB59B	63.005125	8.339983455307937	Ketones	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Acyloins	NA	https://hmdb.ca/metabolites/HMDB0003243	https://pubchem.ncbi.nlm.nih.gov/compound/179
Acetone	#E6DFBF	#D8D1B3	75.636125	10.267089180353981	Ketones	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	mono	https://hmdb.ca/metabolites/HMDB0001659	https://pubchem.ncbi.nlm.nih.gov/compound/180
1,3-Dihydroxyacetone	#E6DFBF	#E6DFBF	94.279625	7.94274980980386	Ketones	Organooxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Triose, Sugar	https://hmdb.ca/metabolites/HMDB0001882	https://pubchem.ncbi.nlm.nih.gov/compound/670
2-Oxoisocaproate	#E6DFBF	#EAE3C3	56.662	12.163593572937026	Ketones	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives	Short-chain keto acids and derivatives	NA	https://hmdb.ca/metabolites/HMDB0000695	https://pubchem.ncbi.nlm.nih.gov/compound/70
Acetoacetate	#E6DFBF	#EEE7C7	82.319	9.95264186033035	Ketones	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives	Short-chain keto acids and derivatives	NA	https://hmdb.ca/metabolites/HMDB0304256	https://pubchem.ncbi.nlm.nih.gov/compound/6971017
Oxalacetic acid	#E6DFBF	#F1EBCB	85.7095	12.666480224033146	Ketones	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives	Short-chain keto acids and derivatives	Succinic Acid, short chain keto acids	https://hmdb.ca/metabolites/HMDB0000223	https://pubchem.ncbi.nlm.nih.gov/compound/970
N-Methylhydantoin	#90DDD7	#7EC1BC	76.056875	12.153130720653472	Organoheterocyclic compounds	Organoheterocyclic compounds	Azolines	Imidazolines	Imidazolines	Hydantoin	https://hmdb.ca/metabolites/HMDB0003646	https://pubchem.ncbi.nlm.nih.gov/compound/69217
Nicotinate	#90DDD7	#87CFCA	95.366125	4.569790315592282	Organoheterocyclic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Pyridinecarboxylic acids and derivatives	Pyridinecarboxylic acids	Vitamin B3	https://hmdb.ca/metabolites/HMDB0001488	https://pubchem.ncbi.nlm.nih.gov/compound/938
