Exp_Name	1,3-Dihydroxyacetone	1,3-Dimethylurate	2-Hydroxyisobutyrate	2-Hydroxyisovalerate	2-Oxoisocaproate	3-Hydroxybutyrate	3-Phenylpropionate	Acetate	Acetoacetate	Acetoin	Acetone	Alanine	Arabinose	Arginine	Aspartate	Betaine	Butyrate	Cadaverine	Caprate	Choline	Dimethylamine	Ethanol	Formate	Fucose	Fumarate	Galactose	Glucose	Glutamate	Glutamine	Glycerol	Glycine	Isobutyrate	Isoleucine	Isopropanol	Isovalerate	L-Malic acid	Lactate	Lactose	Lactulose	Leucine	Lysine	Malonate	Mannose	Methanol	Methionine	Methylamine	Methylsuccinate	N-Acetylaspartate	N-Acetylglutamate	N-Methylhydantoin	N,N-Dimethylglycine	Nicotinate	Oxalacetic acid	Phenylacetate	Phenylalanine	Propionate	Pyruvate	Ribose	Serine	Succinate	Threonine	Trimethylamine	Tyrosine	Uracil	Urocanate	Valerate	Valine	Xanthine	Xylose
E1	0.029510258022299486	0.0073775645055748715	0.050359896842402385	0.32461283824529436	0.11675797739257625	0.14723052643734202	0.3069708361667457	31.013677363065984	0.12509783292061738	0.1998357689988324	0	2.390972427154569	0.36246295179563504	0.05420906093226753	1.562760620485251	0.005773746134797726	9.048101720576348	0.4221249951885448	0.4262949229525654	0	0.030472549044765773	1.1489754808247477	0.30023479900948175	0.15621190931369403	0.14081525295423342	0.13439997947112484	3.338187556935552	5.084424999037709	0.6104132719177818	1.9479977931459214	0.761492962444989	1.5156083603844028	0.9144972350171288	0.15460809094291686	1.3677363065987502	1.27792247783523	0.15653267298784945	0.04907684214578066	0.12253172352737396	0.7236428488946482	0.21459089800998213	0.7839464196358691	0.0856439009994996	0.18026918487535123	0.4545221262782432	0.07826633649392473	0.33102811172840296	0.05260524256149039	0.14594747174072029	0.03849164089865151	0.02469880290996805	0.12156943250490769	0.9484981844776043	0.6309421470637293	0.6187531274458229	10.980702857362807	0.07281335403328243	1.0206700111625757	1.3747931074301696	0.19630736858312264	1.20703370584688	0.03720858620202979	0.34000949460475494	0.11355034065102196	0.16070260075187004	1.7196140571472562	1.7318030767651624	0.1395321982576117	0.3576514966833036
E2	0.02166857227160404	0.0080680854202781	0.04886954597425592	0.4723287721757093	0.12424851547228274	0.18994578246597582	0.32548961752664785	35.9407848633497	0.09843064212739282	0.22314019105226288	0	2.2551451333308754	0.2604839007118358	0.038957326743628534	1.3508280160808472	0.004149301073285879	8.930217976616388	0.30336001180245653	0.3063567292442741	0	0.035960609301810956	0.8402334673403906	0.43913436358942226	0.051635746689779834	0.1410762364917199	0.09658650831704353	3.327508944048982	3.1131283885958783	0.4425921144838272	1.9501715044443633	1.0366337181425889	0.956644414118689	1.0571497067827247	0.11110906207354411	1.3741102054365069	0.8861062958728291	0.04771696234278762	0.03526905912292998	0.08805738944417811	0.5200457345184969	0.15421568989045853	0.8307822815623506	0.06154796592040721	0.18395234758234066	0.4651827536606059	0.044720244900970034	0.2378932615350571	0.03780474311216024	0.10488511046361527	0.0276620071552392	0.026739940250064553	0.08736583926529713	1.7765924095452374	0.686017777449932	0.31880463246413177	10.896295135175013	0.03665215948069194	2.4328735293032873	1.399928078781397	0.1860269981189836	1.1878526905912299	0.057168148120827676	0.40801460553977814	0.21783830634750867	0.10119684284291675	1.3665031534688163	1.2565466750267407	0.183030280677166	0.2570261498174309
E3	0.027633560256383242	0.011240770273783014	0.0538620242285436	0.3435460414924934	0.05854567850928653	0.14542746541706775	0.35057152291360777	35.85758880793974	0.09648327818330421	0.21497973148610017	0	2.059168604528626	0.2458918497390034	0.039576878672277695	1.5411564410784588	0.00421528885266863	9.531470644025884	0.35783118704875927	0	0	0.030209570110791853	1.0948041881236583	0.3690719573225423	0.1791497762384168	0.15877588011718508	0.1981185760754256	3.0244697517897423	3.2792605446621574	0.6201158267703629	2.0474594688267684	0.9194013353098357	1.7397433825819586	1.0325115861897773	0.17844722809630537	1.6081326972930823	0.9329839327239902	0.15268712955221925	0.03582995524768336	0.11193933730975585	0.4573588405145464	0.12716121372217035	0.7137889123852215	0.06252678464791801	0.2191950203387688	0.40443354714215135	0.04800745637761496	0.39881316200525985	0.05315947608643218	0.10655313488690148	0.023652454117751756	0.023652454117751756	0.08875524862007839	0.6924782854078412	0.5709374568225623	0.3667301301821708	11.429521541296953	0.038640147816129115	1.5071999475430724	0.9507818189908134	0.2091251636351715	0.9882510532367565	0.051754379802209295	0.368603591894468	0.31919103923263015	0.11568626073435019	1.4146977754983996	1.2161108339948998	0.13816780128191622	0.2611137261514179
F1	0.02211868114959441	0.005529670287398603	0.05673922555765523	0.46833903129793386	0.07044319105251264	0.05842216868860264	0.24570969711832058	37.33801672364632	0.10434247411873887	0.14978193865431869	0	2.028908154580731	0.21181041405209433	0.04063105559001582	1.2237400766460387	0.004327568051007602	10.15343632945295	0.3163933086181114	0.4500670773047907	0	0.022839942491429014	0.6087445725084027	0.24667137890743335	0.14497352970875468	0.13271208689756647	0.1882492102188307	2.7184339973746092	3.097817463179609	0.5678730964711087	2.178449672787772	0.8715241213834756	1.5295548855839094	0.9359568012540332	0.12093148498093467	1.3266400280811084	0.8491650197866029	0.16036043833455949	0.09376397443849806	0.2024340166082445	0.5423885290596195	0.1608412792291159	0.6717347296952911	0.07068361149979084	0.1649284268328453	0.34067577379320957	0.052652077953925826	0.31831667219633697	0.03942895335362483	0.09592775846400185	0.009376397443849804	0.016108169967639408	0.18295996037871032	1.141035442782338	0.5284441431174839	0.3801047271468344	10.490746216984263	0.01755069265130861	2.9593352855473656	1.5831686453269478	0.2106083118157033	1.394679014660839	0.04904577124475283	0.3654390798628642	0.06659646389606144	0.06515394121239224	1.288894017858431	1.3648668791983423	0.09232145175482885	0.250998946958441
F2	0.04886302308960165	0.005591291199307652	0.05518361314099292	0.30606241825775365	0.12471010370629675	0.0644213986007186	0.22097755218133283	37.786675223773194	0.10963792742990222	0.2477185100910651	0	2.0692639429785538	0.20468987781813228	0.06174730280974537	1.3188154241845222	0.0065636896687524615	9.292482873631954	0.35249444517374323	0.32259319223831545	0	0.02601165905764864	0.5243658746481134	0.18961770154173777	0.18694360575076452	0.12641180102782515	0.19836928776674106	2.2576661464334853	3.2495125852671904	0.5834390816668854	2.04422468239035	0.8173009135683619	0.9023857796447827	0.9502764042649396	0.11231202322087544	1.3535786694671739	1.0497041477656712	0.1086655289604574	0.07049888903474866	0.20468987781813228	0.8022287372919674	0.1626336440146443	0.6697394458301122	0.07147128750419346	0.21830345639035964	0.37437341073625147	0.0218789655625082	0.16749563636186834	0.046432026915989626	0.07341608444308308	0.007536088138197269	0.015801475128478144	0.1507217627639454	1.3234343169143852	0.46893916188975915	0.3680528206848602	11.076590965445819	0.030873651404872686	3.06548617492476	1.7704945132416359	0.22243614988550006	1.1236064314434768	0.04983542155904647	0.36124603139874656	0.07341608444308308	0.05105091964585247	1.5604564438415574	1.0691521171545677	0.05664221084516012	0.3306154796112351
F3	0.022656861827620688	0.005664215456905172	0.05664215456905172	0.3945249200853081	0.07215717951622676	0.06279891050047039	0.22582980756443663	38.47406035590975	0.11032906629102249	0.12978441503430543	0	1.9672066552068916	0.1610607351659123	0.04161967009639017	1.0439395357313488	0.004432864270621438	9.701569726492277	0.25809120864507046	0.3309871988730674	0	0.026597185623728637	0.5531229528786529	0.2130237552270858	0.1416053864226293	0.14332927808342655	0.21080732309177508	2.654054346915958	3.4438429977983445	0.4558462091622379	2.231454619783381	0.8626846411103833	1.566771249427422	0.850371129247546	0.12042614601854909	1.3589191691827276	0.869826477990829	0.16426224825025	0.15047111496387217	0.33049465839855396	0.5356377660334238	0.16475478872476348	0.6639445596441889	0.0908737175477395	0.24774785868028706	0.35438287141245833	0.03891069748656597	0.32606179412793246	0.04038831891010645	0.0982618246654419	0.01600756542168853	0.016500105896202023	0.1359411709657241	1.1687985460205195	0.46052534367011616	0.32113638938279754	11.932531805801142	0.017977727319742502	2.6129272172940814	1.6216895123356765	0.21622526831142352	0.8791847470065852	0.04851523673957908	0.32827822626324327	0.0792990163966724	0.06772431524560532	1.196380812593275	1.3832999226711455	0.0539331819592275	0.2154864575996533
G1	0.023523405788759822	0.005755726948313573	0.05905876346965232	0.5412885821392286	0.0452950685932503	0.06081050645392166	0.21346239508310774	39.02633119954355	0.1086080650246996	0.155905125599972	0	1.7632544381659756	0.1619111015460383	0.042292080620217117	0.8618575482605193	0.0045044819595497524	9.451404147126393	0.2600087086651218	0.31556398616623543	0	0.028027887748309575	0.8288246805571544	0.17592504542019313	0.15090014564491672	0.1468961616808725	0.15365288462019713	2.2329718069479134	4.365343516799216	0.5372845981751844	1.9759660862558248	0.9071526168537696	1.6176095214738666	0.8268226885751325	0.1258752458696403	1.3808739695997518	0.20695592114153585	0.1669160815010936	0.09759710912357797	0.2657644356134354	0.5645617389302356	0.16741657949659916	0.6991956997212226	0.07932893228762619	0.20845741512805246	0.3546028298156666	0.02752738975280404	0.36160980175274404	0.041040835631453304	0.09984935010335286	0.008508465923593977	0.016266184853929663	0.17717629040895697	1.463706387855917	0.4784760837032848	0.31906747213477415	12.077767378541651	0.018268176835951774	1.8666072742378672	1.6478896502019513	0.2357345558831037	0.8238197006020992	0.051050795541563866	0.32332170509657115	0.12687624186065138	0.06456424142021312	1.341584876952568	0.9552004244223002	0.07082046636403222	0.2977963073257892
G2	0.022811270709115056	0.005581481130953684	0.03664363699017418	0.553051978149715	0.07401529325829885	0.0730446008876982	0.23709161151920644	38.06424527454822	0.11745377684267752	0.15118533672104978	0	1.9396860295527303	0.1754526459860658	0.06891915831264549	1.0709163578651568	0.004368115667702882	9.343642086309115	0.32324055941001334	0.5926076922516911	0	0.030334136581270023	1.0687323000313054	0.22981141873970168	0.05872688842133876	0.1460892017753964	0.3380436180616731	2.928821555194783	3.054768890280216	0.5826580954530346	2.4963781040921975	0.8981331158982426	1.7411794397648992	0.9255551753677109	0.16865779939186132	1.3980396867575726	0.20069064762168243	0.2276273609058502	0.1225499117883309	0.21161093679093967	0.5474704970187613	0.08153815913045381	0.6127495589416544	0.05872688842133876	0.2710658444902289	0.43584087439968766	0.05193204182713427	0.04295313739907835	0.039798387194626264	0.1480305865165977	0.003154750204452082	0.01577375102226041	0.1718125495963134	0.1327421816796376	0.5882395765839882	0.3094081931289542	12.280957199746654	0.017715135763461693	1.39415691727517	1.795780885611185	0.23466488059270485	0.9250698291824104	0.054358772753635876	0.36546567753114123	0.14050772064444272	0.08081013985250333	1.2286538680877608	1.3538731838952434	0.07619935109215027	0.2919357304581427
G3	0.022808613891416446	0.005580831058538066	0.012132241431604492	0.45107673642705504	0.07327873824689113	0.07303609341825903	0.2795268425841675	38.05981195025782	0.11744009705793147	0.15116772823779195	0	1.975128905065211	0.17543221110100096	0.056293600242644834	1.115195632393085	0.0036396724294813472	9.782954200788597	0.22493175614194727	0.4559296329996968	0	0.02499241734910525	1.051137397634213	0.1523809523809524	0.058720048528965736	0.12229299363057328	0.28753412192902644	2.864179557173188	3.1378829238701855	0.5309068850470124	2.496087352138308	0.8376099484379741	1.8538064907491663	0.9926599939338796	0.16863815589930245	1.4483469821049442	0.20066727327873826	0.1958143767060965	0.1477707006369427	0.2115862905671823	0.4911131331513498	0.08152866242038218	0.5842887473460723	0.059447983014862	0.23657870791628757	0.4292387018501669	0.050470124355474676	0.0429481346678799	0.039793751895662734	0.13491052471944195	0.007036700030330604	0.016742493175614197	0.13976342129208374	0.448407643312102	0.545465574764938	0.33121019108280264	11.146618137700942	0.01771307249014256	2.292993630573249	1.4781922960266913	0.20503488019411592	0.9249620867455264	0.057021534728541115	0.3697907188353049	0.20940248710949352	0.058720048528965736	1.399332726721262	1.4920230512587203	0.0761904761904762	0.28025477707006374
H1	0.038845594718905654	0.02025690522151522	0.011915826600891306	0.5395486284883584	0.09103691523080958	0.08865374991063131	0.2542837396630205	37.3809013131241	0.11057887085627131	0.1889850098901361	0	2.508043182955602	0.1851719453778509	0.05528943542813566	1.5204594742737307	0.003574747980267392	8.886108529348682	0.29217606825385484	0.4091894854746075	0	0.02454660279783609	0.7828698076785588	0.2983722980863183	0.16443840709230004	0.0829341531422035	0.2793069755248922	3.0649889182812617	3.012797597769358	0.5745811586949788	1.9875598770286698	0.9680417530564098	1.8207383046161916	1.487095159791235	0.1377469555063035	1.409165653821406	0.2588117537713592	0.21519982841209698	0.1222563809251448	0.23545673363361222	0.6189080336502945	0.08007435475798957	0.6251042634827578	0.07745287290579349	0.2559519553871452	0.5926932151283336	0.04956983865970783	0.042182026167155225	0.03908391125092349	0.14537308453087394	0.015252258049140873	0.019541955625461745	0.12630776196944785	0.4404089511689427	0.4949834370010248	0.4945068039369892	10.600081027620888	0.017397106837301307	1.4775624985105218	1.248778627773409	0.20137746955506308	1.0798122065727702	0.05076142131979697	0.4825909773360979	0.18255046352565482	0.10414432449179002	1.3460117728366818	1.927027477896142	0.12749934462953696	0.26429303400776916
H2	0.03917063980313749	0.020426407259304828	0.012015533681944015	0.5128229775453707	0.07545755152260841	0.10453514303291292	0.21892302368501995	37.081378806521066	0.1038142110119963	0.22517110119963085	0	2.577812596124269	0.1194344047985235	0.05575207628422023	1.484158720393725	0.003604660104583205	9.142619578591201	0.30663641956321125	0.44265226084281756	0	0.02475199938480467	0.7867771454936942	0.2451168871116579	0.07305444478621961	0.08843432789910795	0.2816441095047677	3.11418601968625	3.559722008612734	0.5793890341433404	2.224555905875115	0.945862811442633	1.8359735466010454	1.204196785604429	0.1388995693632728	1.1155221470316823	0.260977391571824	0.23646570286065824	0.07834127960627497	0.1098219778529683	0.6240868194401722	0.08074438634266377	0.6171178099046446	0.0781009689326361	0.23358197477699166	0.49215625961242687	0.045659027991387255	0.04253498923408181	0.039410950476776375	0.16437250076899412	0.012015533681944015	0.014899261765610579	0.10453514303291292	0.4440941248846508	0.5712184712396184	0.5000865118425099	10.688778452783756	0.017542679175638263	1.5363061365733617	1.2916698708089815	0.2013803445093817	1.118405875115349	0.04950399876960934	0.48374538603506606	0.20065941248846508	0.10597700707474622	1.401732159335589	1.352708781913257	0.11607005536757921	0.3083185942786834
H3	0.028988381761730752	0.021614144296027316	0.012714202527074892	0.47423975425989345	0.06535100098916494	0.11061356198555156	0.25174121003608285	39.237554702856364	0.10985070983392706	0.19249302625991385	0	1.8946704605847002	0.10273075641876511	0.05899389972562749	1.1717409048952219	0.0038142607581224675	10.429206048908991	0.3244664484909512	0.7567493344114974	0	0.026191257205774275	0.8325259814728638	0.4528798940144076	0.10171362021659913	0.15918181563897765	0.3315864019061131	2.457401064433035	3.746366916627888	0.6130788458555513	1.8120281441587134	0.9085569125847718	1.9427301461370432	0.8399002189385673	0.14697618121298572	1.3151571094006267	0.27615247888806665	0.25021550573283385	0.08289660047652828	0.12154777615883597	0.5907018494078995	0.08543944098194325	0.6649527921660168	0.11417353869313251	0.24716409712633586	0.38651175682307665	0.052636798462090045	0.04500827694584512	0.04170258428880565	0.1739302905703845	0.012714202527074892	0.015765611133572863	0.11061356198555156	0.4699169254006879	0.6044331881371403	0.3547262505053895	9.90614375694513	0.01856273568952934	0.9896735247075095	1.167672360086558	0.2130900343537752	0.7758206382021098	0.05441678681588053	0.38524033657036916	0.2123271822021507	0.09077940604331473	1.7156544890034857	1.0779100902454093	0.12281919641154344	0.2708125138266952
